Years,Population(m)
1960,6.7882
1961,7.007
1962,7.24
1963,7.487
1964,7.764
1965,8.0144
1966,8.293
1967,8.581
1968,8.873
1969,9.163
1970,9.4461
1971,9.72
1972,9.988
1973,10.26
1974,10.53
1975,10.8271
1976,11.14
1977,11.47
1978,11.82
1979,12.18
1980,12.5495
1981,12.93
1982,13.32
1983,13.74
1984,14.17
1985,14.6466
1986,15.15
1987,15.7
1988,16.62
1989,16.85
1990,17.4389
1991,18.04
1992,18.65
1993,19.28
1994,19.91
1995,20.5503
1996,21.2
1997,21.87
1998,22.55
1999,23.72
2000,24.0393
2001,24.85
2002,25.72
2003,26.62
2004,27.57
2005,28.5439
2006,29.55
2007,30.59
2008,31.66
2009,32.77
2010,33.9151
2011,35.09
2012,36.31
2013,37.55
2014,38.83
2015,40.1449
2016,41.49
2017,42.86
